Source sentence,Answer sentence
replace entity to label : Natural conditions and human activities have caused serious quality degradation of the Quaternary aquifer in the north of the United Arab Emirates ( UAE ) .,replaced sentence is : Natural conditions and human activities have caused serious quality degradation of the AquiferType in the Location ( UAE ) .
replace entity to label : The aquifer within Ajman City is unconfined .,replaced sentence is : The aquifer within Location is unconfined .
"replace entity to label : Iso-concentration maps of salinity and major ions , in addition to hydrochemical profiles were used to define the seawater-groundwater interface in Ajman City .","replaced sentence is : Iso-concentration maps of salinity and major ions , in addition to hydrochemical profiles were used to define the seawater-groundwater interface in Location ."
replace entity to label : The potentiometric surface map of the Quaternary aquifer within the study area shows that groundwater flows from the east towards the Arabian Gulf in the west .,replaced sentence is : The potentiometric surface map of the AquiferType within the study area shows that groundwater flows from the east towards the Location in the west .
replace entity to label : The chemical and hydrodynamic characteristics of groundwater in deltaic regions are strongly influenced by the complex stratigraphy of these areas .,replaced sentence is : The chemical and hydrodynamic characteristics of groundwater in deltaic regions are strongly influenced by the complex stratigraphy of these areas .
"replace entity to label : As a case study , the eastern sector of the Po River plain , northern Italy , has been investigated to understand the quality of the available groundwater resources .","replaced sentence is : As a case study , the Location , Location , has been investigated to understand the quality of the available groundwater resources ."
"replace entity to label : Based on the analysis of hydrochemical and isotopic data , the recharge characteristics , the groundwater residence time and the aquifer vulnerability are defined .","replaced sentence is : Based on the analysis of hydrochemical and isotopic data , the recharge characteristics , the groundwater residence time and the aquifer vulnerability are defined ."
"replace entity to label : The results show significant qualitative degradation of the unconfined aquifer due to the shallow depth to water , while in the underlying confined aquifer , a hydrochemical facies of Ca-HCO3 type prevails .","replaced sentence is : The results show significant qualitative degradation of the AquiferType due to the shallow depth to water , while in the AquiferType , a hydrochemical facies of HydrochemicalType type prevails ."
replace entity to label : The main water-bearing formations in the study area are composed of Quaternary deposits .,replaced sentence is : The main StratigraphicGroupType in the study area are composed of GeologicAge deposits .
replace entity to label : Water samples were taken and chemically analyzed at 29 sites .,replaced sentence is : Water samples were taken and chemically analyzed at 29 sites .
replace entity to label : The groundwater of the study area showed a hydrochemical evolution from Ca-HCO3 at the eastern side to Na-Cl at the western side .,replaced sentence is : The groundwater of the study area showed a hydrochemical evolution from HydrochemicalType at the eastern side to HydrochemicalType at the western side .
replace entity to label : The aquifer to be recharged is the Kushkak unconfined aquifer which consists of medium to coarse-grained alluvial deposits that overlie consolidated conglomerate rock .,replaced sentence is : The aquifer to be recharged is the AquiferType which consists of medium to coarse-grained alluvial deposits that overlie consolidated RockType .
"replace entity to label : As compared to deep aquifers , shallow aquifer groundwaters are more polluted and have high concentration of NO3 ( - ) .",replaced sentence is : As compared to GroundwaterType are more polluted and have high concentration of NO3 ( - ) .
replace entity to label : The groundwater budgeting analysis provides evidence that the natural aquifer discharge was stream-focused through GFS .,replaced sentence is : The groundwater budgeting analysis provides evidence that the natural aquifer discharge was stream-focused through GFS .
"replace entity to label : During these campaigns , water has been collected from both cold springs and thermal springs .","replaced sentence is : During these campaigns , water has been collected from both cold springs and thermal springs ."
"replace entity to label : They present some typical characteristics: ( 1 ) the water types are dominated by Ca-Mg and SO4-HCO3 main ions , with seasonal variations for the second end members .","replaced sentence is : They present some typical characteristics: ( 1 ) the water types are dominated by HydrochemicalType and HydrochemicalType main ions , with seasonal variations for the second end members ."
replace entity to label : An attempt has been made for the first time in this region to appreciate the quality and / or the suitability of shallow and deep groundwater for drinking and irrigation .,replaced sentence is : An attempt has been made for the first time in this region to appreciate the quality and / or the suitability of GroundwaterType for drinking and irrigation .
"replace entity to label : The computed groundwater quality index ( WQI ) falls into two categories: fair for almost all the Miocene groundwater samples , while the Quaternary groundwater samples are all have a good quality .","replaced sentence is : The computed groundwater quality index ( WQI ) falls into two categories: fair for almost all the GroundwaterType samples , while the GroundwaterType samples are all have a good quality ."
"replace entity to label : Confinement is related to tufa layers , detected both by drilling and reflection seismology .","replaced sentence is : Confinement is related to RockType layers , detected both by drilling and reflection seismology ."
replace entity to label : The five key indicators of the chemical evolution of these basalt-hosted groundwaters have been used in a rating-based classification scheme .,replaced sentence is : The five key indicators of the chemical evolution of these GroundwaterType have been used in a rating-based classification scheme .
"replace entity to label : In RV , the water interacts with dolomite rocks and gypsum layers , whereas in CC the dolomite content is depleted and the influence of limestone rocks increases .","replaced sentence is : In RV , the water interacts with RockType and gypsum layers , whereas in CC the dolomite content is depleted and the influence of RockType increases ."
replace entity to label : Sixty-one soaking experiments were carried out with granodiorite and trachyandesite grains of different sizes and three chemically-distinct waters for 6 to 168 h .,replaced sentence is : Sixty-one soaking experiments were carried out with RockType and RockType grains of different sizes and three chemically-distinct waters for 6 to 168 h .
replace entity to label : Arsenic contamination ( max 620 mu g / l ) is confined in hand pump zones ( 15-35 m ) within the newer alluvium deposited during Middle Holocene to Recent age .,replaced sentence is : Arsenic contamination ( max 620 mu g / l ) is confined in hand pump zones ( 15-35 m ) within the newer alluvium deposited during GeologicAge to Recent age .
"replace entity to label : The results show that geologically the study location is an area located in three types of geological formations , namely the Idi Formation , Young Alluvium , and the Olim Volcano .","replaced sentence is : The results show that geologically the study location is an area located in three types of geological formations , namely the StratigraphicGroupType , Young Alluvium , and the Olim Volcano ."
"replace entity to label : Unreactive tracers , mainly stable isotope ratios O-18 and H-2 , as well as C isotopes are used to define a time-scale for the aquifer , showing two groups of groundwater , namely of modern and Holocene age , and late Pleistocene age , with a mixing zone .","replaced sentence is : Unreactive tracers , mainly stable isotope ratios O-18 and H-2 , as well as C isotopes are used to define a time-scale for the aquifer , showing two groups of groundwater , namely of modern and GeologicAge age , and GeologicAge age , with a mixing zone ."
"replace entity to label : The major difference in terms of baseline evolution is observed using Cl and Na concentration and , locally , SO4 , indicating an increasing influence of water circulation involving overlying or basement formations , or of mixing with Permian waters .","replaced sentence is : The major difference in terms of baseline evolution is observed using Cl and Na concentration and , locally , SO4 , indicating an increasing influence of water circulation involving StratigraphicGroupType , or of mixing with GeologicAge waters ."
